"","headline","url","date_time"
"34","Американсько-українська ракета Alpha, яскравий тест двигуна","https://ua-news.liga.net/world/video/amerikansko-ukrainska-raketa-alpha-yaskraviy-test-dviguna","2019-03-11 11:12:05"
"35","Ляльці Барбі - 60 років: фото, відео","https://ua-news.liga.net/culture/video/lyaltsi-barbi---60-rokiv-foto-video","2019-03-11 10:59:31"
"36","Конкурс відеоконтенту PITCH UA - Україна, яку варто побачити!","https://ua-news.liga.net/all/news/konkurs-videokontentu-pitch-ua---ukraina-yaku-varto-pobachiti","2019-03-11 10:52:00"
"37","Букмекери назвали нового лідера конкурсу Євробачення-2019: відео","https://ua-news.liga.net/culture/video/bukmekeri-nazvali-novogo-lidera-konkursu-evrobachennya-2019-video","2019-03-11 09:58:35"
"38","Сильний вітер, сніг і дощ: де погіршиться погода - карта","https://ua-news.liga.net/society/news/silniy-viter-snig-i-dosch-de-pogirshitsya-pogoda---karta","2019-03-11 09:21:24"
"39","Місяць катували: у Львові засудили чотирьох екс-міліціонерів","https://ua-news.liga.net/cryminal/news/misyats-katuvali-u-lvovi-zasudili-chotiroh-eks-militsioneryv","2019-03-07 17:54:25"
"40","Королева Єлизавета II зробила свій перший пост в Instagram - фото","https://ua-news.liga.net/world/news/koroleva-elizaveta-ii-zrobila-sviy-pershiy-post-v-instagram---foto","2019-03-07 17:39:56"
"41","Мураєв знявся з виборів на користь Вілкула: відео","https://ua-news.liga.net/politics/video/muraev-znyavsya-z-viboriv-na-korist-vilkula-video","2019-03-07 17:24:12"
"42","У Донбасі загинув 21-річний військовий Богдан Слобода","https://ua-news.liga.net/cryminal/news/u-donbasi-zaginuv-21-richniy-viyskoviy-bogdan-sloboda","2019-03-07 16:47:07"
"43","Добродомов заявив про ""важливе рішення"" й потиснув руку Гриценку","https://ua-news.liga.net/politics/news/dobrodomov-zayaviv-pro-vajlive-rishennya-y-potisnuv-ruku-gritsenku","2019-03-07 16:17:56"
"44","Бути чесним: Гриценко і Садовий підписали угоду - фото","https://ua-news.liga.net/politics/news/buti-chesnim-gritsenko-i-sadoviy-pidpisali-ugodu---foto","2019-03-07 15:34:40"
"45","НАБУ проводить обшуки у фігурантів розслідування в Укрборонпромі","https://ua-news.liga.net/politics/news/nabu-provodit-obshuki-u-figurantiv-rozsliduvannya-v-ukrboronpromi","2019-03-07 15:28:31"
"46","""Тупий і ще тупіший"". Тимошенко про скандал з однаковим прізвищем","https://ua-news.liga.net/politics/news/tupiy-i-sche-tupishiy-timoshenko-pro-skandal-z-odnakovim-prizvischem","2019-03-07 15:03:15"
"47","Тимошенко сказала, чи зустрічатиметься з Порошенком","https://ua-news.liga.net/politics/news/timoshenko-skazala-chi-zustrichatimetsya-z-poroshenkom","2019-03-07 14:36:05"
"48","Спроба підкупу Тимошенко. Затриманий заявив про провокації: відео","https://ua-news.liga.net/politics/news/sproba-pidkupu-timoshenko-zatrimaniy-zayaviv-pro-provokatsii-video","2019-03-07 14:16:37"
"49","Військовослужбовця судитимуть за крадіжку тепловізора: фото","https://ua-news.liga.net/cryminal/news/viyskovoslujbovtsya-suditimut-za-kradijku-teplovizora-foto","2019-03-07 12:19:12"
"50","В Україну прийшов антициклон: якою буде погода - карта","https://ua-news.liga.net/society/news/v-ukrainu-priyshov-antitsiklon-yakoyu-bude-pogoda---karta","2019-03-07 11:36:17"
"51","Європарламент: Росія більше не стратегічний партнер","https://ua-news.liga.net/world/news/evroparlament-rosiya-bilshe-ne-strategichniy-partner","2019-03-12 16:06:46"
"52","Сергій Кривонос став заступником Турчинова","https://ua-news.liga.net/politics/news/sergiy-krivonos-stav-zastupnikom-turchinova","2019-03-12 14:20:02"
"53","У Раді включили аудіо розмови ""Тимошенко з Коломойським"": відео","https://ua-news.liga.net/politics/video/u-radi-vklyuchili-audio-rozmovi-timoshenko-z-kolomoyskim-video","2019-03-12 13:02:12"
