year,period,company_name,company_code,company_type,company_status,salary_debt_changes,salary_debt_mark,salary_average_changes,salary_average_mark,financial_outturn_sales_percent,financial_outturn_sales_mark,financial_outturn_profit_percent,financial_outturn_profit_mark,financial_outturn_revenue_to_budget_percent,financial_outturn_revenue_to_budget_mark,financial_outturn_revenue_to_state_shareholder_percent,financial_outturn_revenue_to_state_shareholder_mark,financial_outturn_capital_investments_percent,financial_outturn_capital_investments_mark,profit_changes,profit_mark,covering_coefficient_end,covering_coefficient_mark,firmness_coefficient_end,firmness_coefficient_mark,solvency_coefficient_end,solvency_coefficient_mark,amortization_end,amortization_mark,audition_result,audition_mark,total_mark,final_assessment
2019,3,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ЖИТОМИРТОРФ""",02968154,ДП,працює,100.0,0.0,160.5,1.0,133.6,1.0,100.0,1.0,0.0,0.0,0.0,0.0,132.0,1.0,-3.8,5.0,0.4,0.0,-0.3,0.0,-0.2,0.0,75.4,0.0,,0.0,9.0,задовільна
2019,3,ДП Київторф,02968177,ДП,працює,115.6,0.0,63.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,0.2,0.0,0.3,0.0,0.2,0.0,31.7,1.0,,0.0,1.0,неефективна
2019,3,"Державне підприємство ""Рівнеторф""",02968193,ДП,працює,,2.0,175.0,1.0,195.6,1.0,406.0,1.0,0.0,0.0,0.0,0.0,214.0,1.0,734.8,5.0,2.8,1.0,4.7,1.0,0.7,1.0,71.7,0.0,,0.0,14.0,ефективна
2019,3,"Державне підприємство ""Чернігівторф""",02968220,ДП,працює,122.8,0.0,115.4,1.0,96.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.8,3.0,0.4,0.0,-0.5,0.0,-0.8,0.0,81.4,0.0,,0.0,4.0,неефективна
2019,3,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ПІДПРИЄМСТВО ІЗ ЗАБЕЗПЕЧЕННЯ НАФТОПРОДУКТАМИ""",03482347,ДП,працює,,2.0,137.2,1.0,59.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,-1073.3,0.0,19.5,1.0,20.9,1.0,0.9,1.0,99.9,0.0,,0.0,6.0,неефективна
2019,3,"ДЕРЖАВНЕ ДОНБАСЬКЕ ПІДПРИЄМСТВО З ПУСКУ, НАЛАГОДЖУВАННЯ, ВДОСКОНАЛЕННЯ ТЕХНОЛОГІЇ ТА ЕКСПЛУАТАЦІЇ ЕЛЕКТРОСТАНЦІЙ ТА МЕРЕЖ «ДОНОРГРЕС»",04624513,ДП,працює,77.7,1.0,107.0,1.0,86.4,0.0,157.1,1.0,4000.0,1.0,0.0,0.0,100.0,1.0,1100.0,5.0,1.8,1.0,1.1,1.0,0.5,1.0,89.8,0.0,,0.0,13.0,ефективна
2019,3,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""НАУКОВО-ДОСЛІДНИЙ, ПРОЕКТНИЙ І ВПРОВАДЖУВАЛЬНИЙ ЦЕНТР ОРГАНІЗАЦІЇ ПРАЦІ В ЕНЕРГЕТИЦІ ТА ЕНЕРГЕТИЧНОМУ БУДІВНИЦТВІ""УКРЕНЕРГОПРАЦЯ""",04624536,ДП,працює,,2.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.3,0.0,-0.7,0.0,-2.4,0.0,99.6,0.0,,0.0,5.0,неефективна
2019,3,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""СПЕЦІАЛІЗОВАНИЙ ЦЕНТР ПІДГОТОВКИ КАДРІВ""",04642416,ДП,працює,36.6,1.0,135.0,1.0,73.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.3,3.0,0.2,0.0,1.4,1.0,0.6,1.0,97.1,0.0,,0.0,7.0,неефективна
2019,3,"Державне підприємство ""Дніпродіпрошахт""",05410777,ДП,працює; перебуває у процедурі реорганізації,,2.0,107.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.8,3.0,1.5,1.0,6.0,1.0,0.9,1.0,39.2,1.0,,0.0,10.0,задовільна
2019,3,Штаб воєнiзованих газоpятувальних части,05495549,ДП,"працює; код  425, фінплан не затверджується",,2.0,127.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.9,1.0,1.3,1.0,0.0,0.0,100.0,0.0,,0.0,5.0,неефективна
2019,3,"СПЕЦІАЛІЗОВАНЕ УПРАВЛІННЯ З РЕМОНТУ ЗАСОБІВ АВТОМАТИЗАЦІЇ І СИСТЕМ УПРАВЛІННЯ ""ОРГГАЗРЕМАВТОМАТИКА""",05794418,ДП,працює,,2.0,86.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3746.4,0.0,8.4,1.0,7.5,1.0,0.9,1.0,98.5,0.0,,0.0,5.0,неефективна
2019,3,"Державне підприємство ""Кримський науково-інженерний центр""",13790848,ДП,працює,,2.0,128.3,1.0,175.8,1.0,116.7,1.0,57.1,0.0,0.0,0.0,0.0,0.0,-10.0,5.0,3.1,1.0,2.1,1.0,0.7,1.0,95.6,0.0,,0.0,13.0,ефективна
2019,3,"Державне науково-виробниче підприємство фірма ""ПолімерСервісМаш""",14030269,ДП,працює,,2.0,306.0,1.0,14.2,0.0,0.0,0.0,500.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1,1.0,8.9,1.0,0.7,1.0,97.9,0.0,,0.0,7.0,неефективна
